customer_id,cohort_month,first_order_date,last_order_date,days_since_last_order,total_orders,orders_last_90d,orders_last_30d,total_revenue,avg_order_value,return_rate,acquisition_channel,acquisition_campaign,cac,ltv_12m,ltv_cac_ratio,discount_orders_share,avg_discount_pct,discount_dependency_index,top_category,price_band_preference,lifecycle_stage,active_30d,active_90d,churn_flag,email_opt_in,region,r_score,f_score,m_score
C0109,4/1/2024,4/29/2024,8/18/2024,440,4,0,0,134.63,33.66,0.103,Google Ads,Generic_Search,31.09,136.16,4.38,0.354,0.236,0.084,Accessories,Low,Churned,FALSE,FALSE,TRUE,TRUE,AU,2,4,3
C0110,8/1/2023,8/19/2023,2/16/2024,624,4,0,0,111.62,27.9,0.282,Organic,SEO_Landing,13.02,108.07,8.3,0.036,0.343,0.012,Apparel,Low,Churned,FALSE,FALSE,TRUE,TRUE,EU_Other,1,4,3
C0111,1/1/2025,1/18/2025,9/10/2025,52,2,2,0,73,36.5,0.056,Meta Ads,Meta_Prospecting,18.54,71.46,3.85,0.275,0.184,0.05,Accessories,Low,Active,FALSE,TRUE,FALSE,TRUE,UK,4,2,2
C0112,6/1/2024,6/24/2024,3/21/2025,225,2,0,0,44.48,22.24,0.127,Meta Ads,Meta_Retargeting,28.85,39.33,1.36,0.395,0.294,0.116,Accessories,Low,Churned,FALSE,FALSE,TRUE,FALSE,EU_Other,3,2,1
C0113,6/1/2024,6/8/2024,4/3/2025,212,1,0,0,19.38,19.38,0.236,Organic,SEO_Blog,12.57,22.79,1.81,0.03,0.179,0.005,Apparel,Low,Churned,FALSE,FALSE,TRUE,FALSE,AU,3,1,1
C0114,7/1/2024,7/31/2024,6/1/2025,153,2,0,0,211.54,105.77,0.075,Influencer,IG_Influencer_Spring,67.78,177.41,2.62,0.714,0.115,0.082,Supplements,High,At-risk,FALSE,FALSE,FALSE,TRUE,IN,4,2,4
C0115,11/1/2024,11/12/2024,5/7/2025,178,2,0,0,257.29,128.65,0.053,Google Ads,Generic_Search,37.08,209.99,5.66,0.351,0.327,0.115,Supplements,High,At-risk,FALSE,FALSE,FALSE,TRUE,AU,3,2,4
C0116,7/1/2024,7/10/2024,3/25/2025,221,1,0,0,48.03,48.03,0.082,Google Ads,Brand_Search,32.43,35.2,1.09,0.499,0.06,0.03,Skincare,Mid,Churned,FALSE,FALSE,TRUE,FALSE,US,3,1,1
C0117,10/1/2025,10/9/2025,10/19/2025,13,1,1,1,57.19,57.19,0.018,Meta Ads,Meta_BF_Sale,27.36,52.58,1.92,0.294,0.143,0.042,Skincare,Mid,New,TRUE,TRUE,FALSE,TRUE,AU,5,1,1
C0118,10/1/2024,10/7/2024,2/27/2025,247,3,0,0,185.19,61.73,0.037,Google Ads,Shopping_Campaign,41.72,179.44,4.3,0.26,0.123,0.032,Supplements,Mid,Churned,FALSE,FALSE,TRUE,TRUE,IN,3,3,4
C0119,3/1/2025,3/6/2025,9/12/2025,50,4,4,0,167.39,41.85,0.099,Google Ads,Brand_Search,34.27,139.19,4.06,0.181,0.336,0.061,Home Decor,Mid,Active,FALSE,TRUE,FALSE,FALSE,US,4,4,4
C0120,7/1/2023,7/9/2023,11/28/2023,704,8,0,0,297.27,37.16,0.183,Meta Ads,Meta_BF_Sale,15.61,270.89,17.35,0.567,0.064,0.036,Accessories,Mid,Churned,FALSE,FALSE,TRUE,FALSE,CA,1,5,5
C0121,9/1/2024,9/24/2024,5/31/2025,154,6,0,0,647.75,107.96,0.07,Meta Ads,Meta_Prospecting,33.62,565.99,16.83,0.336,0.172,0.058,Home Decor,High,At-risk,FALSE,FALSE,FALSE,TRUE,US,4,5,5
C0122,9/1/2024,9/19/2024,3/15/2025,231,3,0,0,82.87,27.62,0.073,Google Ads,Shopping_Campaign,37.24,74.5,2,0.196,0.239,0.047,Accessories,Low,Churned,FALSE,FALSE,TRUE,TRUE,EU_Other,3,3,2
C0123,8/1/2025,8/30/2025,10/9/2025,23,2,1,1,128.63,64.32,0.033,Meta Ads,Meta_Retargeting,28.53,117.1,4.1,0.456,0.305,0.139,Supplements,Mid,Active,TRUE,TRUE,FALSE,TRUE,UK,5,2,3
C0124,12/1/2024,12/10/2024,4/22/2025,193,3,0,0,207.1,69.03,0.015,Google Ads,Generic_Search,25.39,205.53,8.09,0.396,0.213,0.084,Skincare,Mid,Churned,FALSE,FALSE,TRUE,TRUE,EU_Other,3,3,4
C0125,10/1/2024,10/10/2024,4/6/2025,209,4,0,0,169.46,42.36,0.026,Meta Ads,Meta_Retargeting,28.18,140.76,5,0.461,0.132,0.061,Skincare,Mid,Churned,FALSE,FALSE,TRUE,TRUE,US,3,4,4
C0126,11/1/2023,11/14/2023,11/16/2023,716,1,0,0,82.2,82.2,0.175,Google Ads,Brand_Search,29.85,79.37,2.66,0.337,0.197,0.066,Home Decor,High,Churned,FALSE,FALSE,TRUE,TRUE,CA,1,1,2
C0127,11/1/2024,11/14/2024,1/14/2025,291,2,0,0,86.47,43.24,0.049,Meta Ads,Meta_Retargeting,28.02,77.39,2.76,0.253,0.123,0.031,Skincare,Mid,Churned,FALSE,FALSE,TRUE,TRUE,AU,3,2,2
C0128,10/1/2024,10/25/2024,2/24/2025,250,5,0,0,383.92,76.78,0.054,Influencer,IG_Influencer_Spring,34.26,247.49,7.22,0.546,0.327,0.179,Supplements,Mid,Churned,FALSE,FALSE,TRUE,TRUE,US,3,5,5
C0129,3/1/2024,3/17/2024,10/16/2024,381,2,0,0,200.2,100.1,0.144,Organic,SEO_Blog,9.87,203.09,20.58,0.069,0.137,0.009,Home Decor,High,Churned,FALSE,FALSE,TRUE,TRUE,EU_Other,2,2,4
C0130,7/1/2024,7/17/2024,12/19/2024,317,3,0,0,80.89,26.96,0.105,Organic,SEO_Landing,14.99,96.19,6.42,0.111,0.249,0.028,Accessories,Low,Churned,FALSE,FALSE,TRUE,TRUE,US,3,3,2
C0131,8/1/2025,8/9/2025,10/22/2025,10,3,2,1,355.86,118.62,0.023,Influencer,IG_Influencer_Spring,31.93,310.54,9.73,0.459,0.336,0.154,Skincare,High,Active,TRUE,TRUE,FALSE,TRUE,US,5,3,5
C0132,11/1/2024,11/29/2024,5/5/2025,180,1,0,0,20.84,20.84,0.141,Google Ads,Shopping_Campaign,44.43,22.23,0.5,0.446,0.223,0.1,Apparel,Low,At-risk,FALSE,FALSE,FALSE,TRUE,US,3,1,1
C0133,4/1/2023,4/23/2023,4/12/2024,568,2,0,0,160.55,80.28,0.038,Meta Ads,Meta_Prospecting,23.14,165.91,7.17,0.47,0.055,0.026,Skincare,Mid,Churned,FALSE,FALSE,TRUE,FALSE,CA,2,2,4
C0134,1/1/2023,1/2/2023,8/7/2023,817,2,0,0,113.09,56.54,0.145,Google Ads,Brand_Search,41.77,100.09,2.4,0.236,0.289,0.068,Accessories,Mid,Churned,FALSE,FALSE,TRUE,TRUE,IN,1,2,3
C0135,10/1/2024,10/3/2024,2/28/2025,246,1,0,0,108.68,108.68,0.102,Organic,SEO_Landing,11.74,133.39,11.36,0.023,0.135,0.003,Home Decor,High,Churned,FALSE,FALSE,TRUE,FALSE,IN,3,1,3
C0136,8/1/2023,8/8/2023,4/17/2024,563,1,0,0,20.08,20.08,0.051,Organic,Direct_Organic,8.51,23.56,2.77,0.176,0.127,0.022,Accessories,Low,Churned,FALSE,FALSE,TRUE,FALSE,US,2,1,1
C0137,5/1/2025,5/4/2025,7/20/2025,104,5,0,0,169.29,33.86,0.205,Google Ads,Generic_Search,38.46,130.93,3.4,0.474,0.089,0.042,Apparel,Mid,At-risk,FALSE,FALSE,FALSE,TRUE,CA,4,5,4
C0138,1/1/2024,1/20/2024,4/30/2024,550,1,0,0,51.24,51.24,0.075,Meta Ads,Meta_Prospecting,32.57,57.82,1.78,0.519,0.202,0.105,Supplements,Mid,Churned,FALSE,FALSE,TRUE,TRUE,CA,2,1,1
C0139,12/1/2024,12/30/2024,3/22/2025,224,2,0,0,187.97,93.98,0.083,Meta Ads,Meta_Prospecting,23.08,182.62,7.91,0.5,0.143,0.072,Skincare,High,Churned,FALSE,FALSE,TRUE,FALSE,US,3,2,4
C0140,9/1/2023,9/4/2023,1/30/2024,641,1,0,0,78.64,78.64,0.157,Google Ads,Generic_Search,28.18,60.99,2.16,0.306,0.307,0.094,Home Decor,High,Churned,FALSE,FALSE,TRUE,TRUE,EU_Other,1,1,2
C0141,4/1/2025,4/15/2025,7/20/2025,104,7,0,0,724.2,103.46,0.066,Organic,SEO_Landing,10.01,733.41,73.27,0.14,0.158,0.022,Supplements,High,At-risk,FALSE,FALSE,FALSE,TRUE,EU_Other,4,5,5
C0142,7/1/2023,7/22/2023,5/7/2024,543,1,0,0,25.48,25.48,0.099,Organic,SEO_Blog,12.12,25.66,2.12,0.161,0.265,0.043,Accessories,Low,Churned,FALSE,FALSE,TRUE,TRUE,UK,2,1,1
C0143,5/1/2023,5/3/2023,7/19/2023,836,2,0,0,349.86,174.93,0.149,Google Ads,Brand_Search,39.06,317.56,8.13,0.277,0.332,0.092,Home Decor,Premium,Churned,FALSE,FALSE,TRUE,TRUE,US,1,2,5
C0144,2/1/2024,2/5/2024,3/8/2025,238,5,0,0,526.26,105.25,0.02,Referral,Referral_Program,16.97,575.6,33.92,0.118,0.193,0.023,Supplements,High,Churned,FALSE,FALSE,TRUE,FALSE,UK,3,5,5
C0145,2/1/2025,2/5/2025,6/26/2025,128,5,0,0,194.02,38.8,0.136,Organic,SEO_Landing,6.53,184.21,28.21,0.227,0.257,0.058,Home Decor,Mid,At-risk,FALSE,FALSE,FALSE,FALSE,EU_Other,4,5,4
C0146,10/1/2023,10/21/2023,5/23/2024,527,1,0,0,35.04,35.04,0.228,Meta Ads,Meta_BF_Sale,31.36,29.77,0.95,0.545,0.349,0.19,Apparel,Mid,Churned,FALSE,FALSE,TRUE,FALSE,EU_Other,2,1,1
C0147,10/1/2023,10/7/2023,11/14/2023,718,5,0,0,177.65,35.53,0.105,Meta Ads,Meta_Retargeting,17.4,183.57,10.55,0.371,0.083,0.031,Apparel,Low,Churned,FALSE,FALSE,TRUE,TRUE,US,1,5,4
C0148,6/1/2025,6/2/2025,8/7/2025,86,2,1,0,163.06,81.53,0.081,Meta Ads,Meta_Retargeting,25.89,178.37,6.89,0.212,0.268,0.057,Skincare,High,Active,FALSE,TRUE,FALSE,TRUE,UK,4,2,4
C0149,7/1/2023,7/17/2023,4/28/2024,552,2,0,0,118.95,59.48,0.091,Meta Ads,Meta_Retargeting,15.12,110.46,7.31,0.55,0.116,0.064,Skincare,Mid,Churned,FALSE,FALSE,TRUE,TRUE,UK,2,2,3
C0150,9/1/2025,9/8/2025,10/18/2025,14,1,1,1,28.91,28.91,0.153,Meta Ads,Meta_Prospecting,21.49,23.53,1.09,0.263,0.069,0.018,Apparel,Low,New,TRUE,TRUE,FALSE,TRUE,US,5,1,1
C0151,1/1/2025,1/21/2025,5/18/2025,167,1,0,0,98.77,98.77,0.156,Meta Ads,Meta_BF_Sale,22.33,84.04,3.76,0.529,0.143,0.076,Home Decor,High,At-risk,FALSE,FALSE,FALSE,TRUE,UK,4,1,2
C0152,5/1/2023,5/24/2023,11/25/2023,707,4,0,0,580.28,145.07,0.116,Meta Ads,Meta_BF_Sale,22.92,676.54,29.52,0.361,0.201,0.072,Apparel,High,Churned,FALSE,FALSE,TRUE,TRUE,AU,1,4,5
C0153,8/1/2024,8/31/2024,11/17/2024,349,2,0,0,126.41,63.2,0.064,Meta Ads,Meta_Retargeting,28.91,126.08,4.36,0.536,0.245,0.131,Skincare,Mid,Churned,FALSE,FALSE,TRUE,TRUE,EU_Other,2,2,3
C0154,7/1/2023,7/6/2023,11/23/2023,709,2,0,0,140.73,70.36,0.197,Influencer,IG_Influencer_Spring,45.54,88.21,1.94,0.708,0.103,0.073,Apparel,Mid,Churned,FALSE,FALSE,TRUE,TRUE,IN,1,2,3
C0155,4/1/2024,4/8/2024,1/5/2025,300,4,0,0,158.9,39.72,0.209,Meta Ads,Meta_Prospecting,23.97,129.54,5.4,0.405,0.265,0.107,Apparel,Mid,Churned,FALSE,FALSE,TRUE,TRUE,CA,3,4,4
C0156,10/1/2024,10/21/2024,5/8/2025,177,4,0,0,579.53,144.88,0.17,Google Ads,Generic_Search,25.94,574.58,22.15,0.489,0.11,0.054,Home Decor,Premium,At-risk,FALSE,FALSE,FALSE,TRUE,UK,3,4,5
C0157,2/1/2025,2/2/2025,9/29/2025,33,1,1,0,63.09,63.09,0.071,Google Ads,Brand_Search,29.33,57.49,1.96,0.104,0.073,0.008,Supplements,Mid,Active,FALSE,TRUE,FALSE,TRUE,UK,5,1,2
C0158,8/1/2025,8/12/2025,9/25/2025,37,3,1,0,154.66,51.55,0.081,Referral,Referral_Program,8.41,167.16,19.88,0.15,0.296,0.045,Skincare,Mid,Active,FALSE,TRUE,FALSE,TRUE,CA,5,3,3
C0159,2/1/2024,2/7/2024,11/30/2024,336,1,0,0,77.99,77.99,0.086,Meta Ads,Meta_Retargeting,16.46,65.83,4,0.203,0.187,0.038,Home Decor,Mid,Churned,FALSE,FALSE,TRUE,TRUE,UK,2,1,2
C0160,5/1/2023,5/27/2023,11/17/2023,715,4,0,0,186.95,46.74,0.282,Google Ads,Brand_Search,35.09,159.53,4.55,0.232,0.066,0.015,Apparel,Mid,Churned,FALSE,FALSE,TRUE,FALSE,CA,1,4,4
C0161,5/1/2025,5/13/2025,9/12/2025,50,3,1,0,117.1,39.03,0.12,Referral,Referral_VIP,15.02,156.31,10.41,0.18,0.126,0.023,Apparel,Mid,Active,FALSE,TRUE,FALSE,FALSE,US,4,3,3
C0162,5/1/2024,5/3/2024,11/13/2024,353,7,0,0,498.68,71.24,0.07,Influencer,IG_Influencer_Spring,54.78,415.22,7.58,0.576,0.262,0.151,Supplements,High,Churned,FALSE,FALSE,TRUE,FALSE,AU,2,5,5
C0163,7/1/2025,7/17/2025,9/7/2025,55,1,1,0,56.5,56.5,0.04,Influencer,IG_Influencer_Spring,48.54,39.63,0.82,0.661,0.087,0.058,Skincare,Mid,Active,FALSE,TRUE,FALSE,TRUE,AU,4,1,1
C0164,7/1/2024,7/4/2024,8/28/2024,430,1,0,0,57.79,57.79,0.015,Meta Ads,Meta_BF_Sale,22.6,63.05,2.79,0.585,0.241,0.141,Skincare,Mid,Churned,FALSE,FALSE,TRUE,TRUE,EU_Other,2,1,1
C0165,12/1/2023,12/4/2023,5/18/2024,532,1,0,0,27.62,27.62,0.15,Meta Ads,Meta_BF_Sale,32.27,23.37,0.72,0.506,0.074,0.037,Accessories,Low,Churned,FALSE,FALSE,TRUE,TRUE,IN,2,1,1
C0166,5/1/2025,5/21/2025,8/12/2025,81,1,1,0,75.75,75.75,0.031,Organic,SEO_Blog,7.79,86,11.04,0.014,0.056,0.001,Skincare,Mid,Active,FALSE,TRUE,FALSE,TRUE,UK,4,1,2
C0167,10/1/2024,10/2/2024,1/6/2025,299,1,0,0,74.13,74.13,0.027,Referral,Referral_Program,12.19,93.91,7.7,0.076,0.174,0.013,Supplements,Mid,Churned,FALSE,FALSE,TRUE,TRUE,IN,3,1,2
C0168,4/1/2024,4/17/2024,11/4/2024,362,6,0,0,137.61,22.94,0.096,Organic,Direct_Organic,0.38,134.9,355,0.281,0.187,0.053,Accessories,Low,Churned,FALSE,FALSE,TRUE,FALSE,US,2,5,3
C0169,5/1/2023,5/31/2023,6/16/2023,869,1,0,0,38.18,38.18,0.06,Organic,SEO_Blog,5.12,47.8,9.34,0.087,0.219,0.019,Accessories,Mid,Churned,FALSE,FALSE,TRUE,TRUE,AU,1,1,1
C0170,9/1/2023,9/20/2023,5/25/2024,525,1,0,0,77.07,77.07,0.135,Meta Ads,Meta_Retargeting,22.6,67.67,2.99,0.245,0.233,0.057,Apparel,High,Churned,FALSE,FALSE,TRUE,FALSE,US,2,1,2
C0171,5/1/2023,5/24/2023,4/6/2024,574,4,0,0,176.01,44,0.101,Influencer,TikTok_Creator_Summer,45.95,97.99,2.13,0.684,0.288,0.197,Apparel,Mid,Churned,FALSE,FALSE,TRUE,FALSE,US,2,4,4
C0172,12/1/2023,12/12/2023,1/22/2024,649,2,0,0,210.56,105.28,0.05,Meta Ads,Meta_Retargeting,26.6,220.71,8.3,0.595,0.125,0.074,Skincare,High,Churned,FALSE,FALSE,TRUE,TRUE,UK,1,2,4
C0173,9/1/2024,9/15/2024,3/14/2025,232,4,0,0,242.12,60.53,0.063,Google Ads,Brand_Search,33.34,231.31,6.94,0.304,0.323,0.098,Accessories,Mid,Churned,FALSE,FALSE,TRUE,TRUE,US,3,4,4
C0174,10/1/2025,10/13/2025,10/23/2025,9,1,1,1,36.64,36.64,0.237,Google Ads,Generic_Search,35.2,35.9,1.02,0.414,0.196,0.081,Apparel,Mid,New,TRUE,TRUE,FALSE,TRUE,AU,5,1,1
C0175,5/1/2025,5/30/2025,8/10/2025,83,2,1,0,247.29,123.64,0.026,Google Ads,Brand_Search,39.12,184.18,4.71,0.478,0.067,0.032,Supplements,High,Active,FALSE,TRUE,FALSE,TRUE,IN,4,2,4
C0176,1/1/2023,1/2/2023,1/25/2024,646,1,0,0,46.54,46.54,0.289,Meta Ads,Meta_Prospecting,31.26,53.05,1.7,0.572,0.065,0.037,Apparel,Mid,Churned,FALSE,FALSE,TRUE,TRUE,AU,1,1,1
C0177,6/1/2025,6/15/2025,8/20/2025,73,1,1,0,22.6,22.6,0.274,Meta Ads,Meta_BF_Sale,29.36,22.9,0.78,0.419,0.317,0.133,Apparel,Low,Active,FALSE,TRUE,FALSE,TRUE,UK,4,1,1
C0178,9/1/2023,9/11/2023,3/2/2024,609,6,0,0,234.28,39.05,0.093,Organic,Direct_Organic,14.33,255.02,17.8,0.079,0.192,0.015,Accessories,Mid,Churned,FALSE,FALSE,TRUE,TRUE,AU,2,5,4
C0179,3/1/2024,3/28/2024,11/13/2024,353,1,0,0,28.09,28.09,0.167,Meta Ads,Meta_Retargeting,15.36,33.5,2.18,0.33,0.336,0.111,Accessories,Low,Churned,FALSE,FALSE,TRUE,TRUE,CA,2,1,1
C0180,10/1/2025,10/11/2025,10/25/2025,7,2,2,1,290.93,145.46,0.154,Organic,Direct_Organic,2.94,348,118.37,0.247,0.263,0.065,Home Decor,High,Active,TRUE,TRUE,FALSE,TRUE,IN,5,2,5
C0181,1/1/2023,1/9/2023,2/9/2023,996,2,0,0,232.35,116.18,0.079,Meta Ads,Meta_Retargeting,15.15,196.85,12.99,0.435,0.296,0.129,Supplements,High,Churned,FALSE,FALSE,TRUE,TRUE,CA,1,2,4
C0182,3/1/2025,3/26/2025,10/30/2025,2,2,1,1,17.21,8.6,0.14,Google Ads,Generic_Search,36.19,17.26,0.48,0.257,0.184,0.047,Accessories,Low,Active,TRUE,TRUE,FALSE,TRUE,CA,5,2,1
C0183,7/1/2023,7/27/2023,1/17/2024,654,6,0,0,463.48,77.25,0.017,Google Ads,Brand_Search,42.45,342.09,8.06,0.392,0.157,0.062,Skincare,Mid,Churned,FALSE,FALSE,TRUE,TRUE,EU_Other,1,5,5
C0184,2/1/2024,2/8/2024,8/8/2024,450,1,0,0,96.77,96.77,0.055,Meta Ads,Meta_Retargeting,19.87,78.48,3.95,0.226,0.072,0.016,Supplements,High,Churned,FALSE,FALSE,TRUE,TRUE,UK,2,1,2
C0185,6/1/2023,6/1/2023,9/8/2023,785,3,0,0,501.45,167.15,0.054,Google Ads,Shopping_Campaign,43.18,431.97,10,0.146,0.311,0.045,Supplements,High,Churned,FALSE,FALSE,TRUE,TRUE,US,1,3,5
C0186,2/1/2023,2/23/2023,6/24/2023,861,7,0,0,184.96,26.42,0.146,Meta Ads,Meta_Retargeting,16.21,221.48,13.66,0.389,0.264,0.103,Accessories,Low,Churned,FALSE,FALSE,TRUE,FALSE,CA,1,5,4
C0187,9/1/2024,9/19/2024,5/30/2025,155,3,0,0,226.29,75.43,0.032,Meta Ads,Meta_Prospecting,33.69,196.86,5.84,0.357,0.128,0.046,Supplements,High,At-risk,FALSE,FALSE,FALSE,TRUE,AU,4,3,4
C0188,8/1/2024,8/9/2024,3/31/2025,215,6,0,0,66.42,11.07,0.179,Referral,Referral_VIP,10.27,84.29,8.21,0.139,0.288,0.04,Accessories,Low,Churned,FALSE,FALSE,TRUE,TRUE,US,3,5,2
C0189,4/1/2023,4/14/2023,12/10/2023,692,1,0,0,58.84,58.84,0.292,Google Ads,Brand_Search,22.54,45.27,2.01,0.35,0.331,0.116,Apparel,Mid,Churned,FALSE,FALSE,TRUE,TRUE,AU,1,1,2
C0190,9/1/2023,9/11/2023,11/12/2023,720,2,0,0,450.22,225.11,0.078,Influencer,TikTok_Creator_Summer,49.43,343.24,6.94,0.74,0.221,0.164,Home Decor,Premium,Churned,FALSE,FALSE,TRUE,TRUE,AU,1,2,5
C0191,5/1/2024,5/24/2024,3/1/2025,245,1,0,0,82.4,82.4,0.118,Meta Ads,Meta_Prospecting,20.14,82.58,4.1,0.444,0.333,0.148,Apparel,Mid,Churned,FALSE,FALSE,TRUE,TRUE,US,3,1,2
C0192,4/1/2023,4/9/2023,1/30/2024,641,4,0,0,110.82,27.7,0.079,Organic,SEO_Blog,4.27,129.88,30.42,0.236,0.057,0.014,Accessories,Low,Churned,FALSE,FALSE,TRUE,TRUE,US,1,4,3
C0193,6/1/2023,6/2/2023,6/18/2023,867,8,0,0,391.31,48.91,0.173,Influencer,IG_Influencer_Spring,42.29,196.22,4.64,0.667,0.257,0.171,Accessories,Mid,Churned,FALSE,FALSE,TRUE,TRUE,AU,1,5,5
C0194,7/1/2025,7/2/2025,11/1/2025,0,1,1,1,41.49,41.49,0.235,Organic,SEO_Landing,12.05,49.72,4.13,0.225,0.114,0.026,Apparel,Mid,New,TRUE,TRUE,FALSE,TRUE,UK,5,1,1
C0195,5/1/2025,5/27/2025,7/30/2025,94,3,0,0,140.26,46.75,0.067,Google Ads,Brand_Search,33.48,154.04,4.6,0.447,0.337,0.15,Skincare,Mid,At-risk,FALSE,FALSE,FALSE,TRUE,IN,4,4,3
C0196,12/1/2023,12/4/2023,3/4/2024,607,1,0,0,51.62,51.62,0.046,Google Ads,Shopping_Campaign,27.78,49.88,1.8,0.195,0.315,0.061,Skincare,Mid,Churned,FALSE,FALSE,TRUE,TRUE,EU_Other,2,1,1
C0197,4/1/2025,4/1/2025,7/18/2025,106,3,0,0,178.02,59.34,0.062,Google Ads,Brand_Search,35.26,159.75,4.53,0.139,0.067,0.009,Skincare,Mid,At-risk,FALSE,FALSE,FALSE,TRUE,IN,4,4,4
C0198,8/1/2025,8/14/2025,10/19/2025,13,2,2,2,85.58,42.79,0.096,Referral,Referral_Program,15.74,117.18,7.44,0.052,0.067,0.003,Accessories,Mid,Active,TRUE,TRUE,FALSE,TRUE,UK,5,2,2
C0199,6/1/2023,6/10/2023,5/20/2024,530,7,0,0,524.09,74.87,0.043,Influencer,TikTok_Creator_Summer,40.9,213.79,5.23,0.823,0.068,0.056,Supplements,High,Churned,FALSE,FALSE,TRUE,FALSE,EU_Other,2,5,5
C0200,3/1/2025,3/11/2025,7/20/2025,104,3,0,0,155.57,51.86,0.169,Referral,Referral_Program,11.2,200.99,17.95,0.109,0.081,0.009,Accessories,Mid,At-risk,FALSE,FALSE,FALSE,TRUE,US,4,4,3
C0201,2/1/2024,2/2/2024,6/9/2024,510,2,0,0,181.21,90.6,0.079,Meta Ads,Meta_Retargeting,17.44,209.39,12.01,0.318,0.077,0.025,Supplements,High,Churned,FALSE,FALSE,TRUE,FALSE,EU_Other,2,2,4
C0202,3/1/2025,3/26/2025,7/27/2025,97,1,0,0,8.14,8.14,0.286,Organic,Direct_Organic,2.72,7.53,2.77,0.2,0.09,0.018,Apparel,Mid,At-risk,FALSE,FALSE,FALSE,TRUE,AU,4,1,1
C0203,2/1/2024,2/5/2024,3/2/2025,244,1,0,0,56.58,56.58,0.171,Referral,Referral_Program,15.22,66.77,4.39,0.341,0.295,0.101,Home Decor,Mid,Churned,FALSE,FALSE,TRUE,TRUE,IN,3,1,1
C0204,10/1/2024,10/1/2024,1/8/2025,297,1,0,0,41.72,41.72,0.038,Meta Ads,Meta_Prospecting,18.63,36.79,1.97,0.205,0.319,0.065,Supplements,Mid,Churned,FALSE,FALSE,TRUE,FALSE,EU_Other,3,1,1
C0205,11/1/2024,11/18/2024,2/10/2025,264,1,0,0,66.28,66.28,0.052,Meta Ads,Meta_Prospecting,25.5,68.04,2.67,0.212,0.122,0.026,Skincare,Mid,Churned,FALSE,FALSE,TRUE,TRUE,AU,3,1,2
C0206,4/1/2024,4/4/2024,9/27/2024,400,5,0,0,148.16,29.63,0.156,Organic,SEO_Landing,10.64,171.84,16.15,0.01,0.151,0.001,Accessories,Low,Churned,FALSE,FALSE,TRUE,FALSE,UK,2,5,3
C0207,8/1/2025,8/12/2025,9/25/2025,37,3,1,0,137.93,45.98,0.284,Organic,Direct_Organic,1.6,140.83,88.02,0.154,0.289,0.045,Apparel,Mid,Active,FALSE,TRUE,FALSE,TRUE,EU_Other,5,4,3
C0208,4/1/2024,4/14/2024,8/1/2024,457,2,0,0,356.53,178.26,0.023,Influencer,TikTok_Creator_Summer,52.69,224.61,4.26,0.569,0.262,0.149,Skincare,High,Churned,FALSE,FALSE,TRUE,TRUE,AU,2,2,5
C0209,1/1/2025,1/19/2025,7/19/2025,105,1,0,0,24.25,24.25,0.161,Meta Ads,Meta_Prospecting,20.13,22.11,1.1,0.275,0.275,0.076,Apparel,Low,At-risk,FALSE,FALSE,FALSE,FALSE,UK,4,1,1
C0210,2/1/2023,2/7/2023,2/6/2024,634,5,0,0,525.87,105.17,0.068,Influencer,IG_Influencer_Spring,68.52,307.47,4.49,0.518,0.093,0.048,Home Decor,High,Churned,FALSE,FALSE,TRUE,TRUE,US,1,5,5
C0211,8/1/2023,8/18/2023,1/31/2024,640,4,0,0,241.17,60.29,0.142,Meta Ads,Meta_BF_Sale,24.67,208.33,8.44,0.274,0.105,0.029,Accessories,Mid,Churned,FALSE,FALSE,TRUE,FALSE,UK,1,4,4
C0212,7/1/2024,7/16/2024,5/22/2025,163,1,0,0,26.72,26.72,0.096,Meta Ads,Meta_Prospecting,31.12,30.84,0.99,0.405,0.303,0.123,Accessories,Low,At-risk,FALSE,FALSE,FALSE,TRUE,UK,4,1,1
C0213,3/1/2024,3/13/2024,12/11/2024,325,4,0,0,281.02,70.26,0.092,Meta Ads,Meta_Prospecting,26,225.94,8.69,0.232,0.262,0.061,Home Decor,Mid,Churned,FALSE,FALSE,TRUE,TRUE,IN,3,4,4
C0214,1/1/2023,1/27/2023,9/24/2023,769,2,0,0,37.29,18.64,0.061,Influencer,IG_Influencer_Spring,31.74,31.37,0.99,0.727,0.312,0.227,Accessories,Low,Churned,FALSE,FALSE,TRUE,TRUE,AU,1,2,1
C0215,8/1/2023,8/14/2023,6/12/2024,507,1,0,0,39.8,39.8,0.034,Organic,SEO_Blog,9.5,44.92,4.73,0.073,0.185,0.014,Supplements,Mid,Churned,FALSE,FALSE,TRUE,FALSE,EU_Other,2,1,1
C0216,3/1/2025,3/8/2025,9/13/2025,49,2,1,0,202.46,101.23,0.272,Google Ads,Brand_Search,43.79,168.58,3.85,0.47,0.248,0.117,Apparel,High,Active,FALSE,TRUE,FALSE,TRUE,IN,4,2,4
C0217,10/1/2023,10/11/2023,7/5/2024,484,2,0,0,82.42,41.21,0.031,Google Ads,Brand_Search,35.04,81.53,2.33,0.256,0.089,0.023,Skincare,Mid,Churned,FALSE,FALSE,TRUE,TRUE,CA,2,2,2
C0218,5/1/2025,5/28/2025,8/17/2025,76,1,1,0,116.24,116.24,0.14,Influencer,TikTok_Creator_Summer,62.77,76.01,1.21,0.531,0.224,0.119,Home Decor,High,Active,FALSE,TRUE,FALSE,FALSE,UK,4,1,3
